"match_name","full_name","marathon","year","vaporfly"
"LYNDY DAVIS","LYNDY DAVIS","Chicago Marathon",2015,FALSE
"FLORENCE KIPLAGAT","FLORENCE KIPLAGAT","Chicago Marathon",2016,FALSE
"EDNA KIPLAGAT","EDNA KIPLAGAT","Chicago Marathon",2016,FALSE
"VALENTINE KIPKETER","VALENTINE KIPKETER","Chicago Marathon",2016,FALSE
"PURITY RIONORIPO","PURITY RIONORIPO","Chicago Marathon",2016,FALSE
"YEBRGUAL MELESE","YEBRGUAL MELESE","Chicago Marathon",2016,FALSE
"ATSEDE BAYSA","ATSEDE BAYSA","Chicago Marathon",2016,FALSE
"SERENA BURLA","SERENA BURLA","Chicago Marathon",2016,FALSE
"AGNIESZKA MIERZEJEWSKA","AGNIESZKA MIERZEJEWSKA","Chicago Marathon",2016,FALSE
"SARAH CROUCH","SARAH CROUCH","Chicago Marathon",2016,FALSE
"ALIA GRAY","ALIA GRAY","Chicago Marathon",2016,FALSE
"LAURIE KNOWLES","LAURIE KNOWLES","Chicago Marathon",2016,FALSE
"FREYA ROSS","FREYA ROSS","Chicago Marathon",2016,FALSE
"LAUREN PHILBROOK","LAUREN PHILBROOK","Chicago Marathon",2016,FALSE
"CAITLIN CHRISMAN","CAITLIN CHRISMAN","Chicago Marathon",2016,FALSE
"KRISTEN HECKERT","KRISTEN HECKERT","Chicago Marathon",2016,FALSE
"EMMA POLLEY","EMMA POLLEY","Chicago Marathon",2016,FALSE
"AMANDA SCOTT","AMANDA SCOTT","Chicago Marathon",2016,FALSE
"JULIA ROMAN-DUVAL","JULIA ROMAN-DUVAL","Chicago Marathon",2016,FALSE
"STEPHANIE ANDRE","STEPHANIE ANDRE","Chicago Marathon",2016,FALSE
"LAUREN KERSJES","LAUREN KERSJES","Chicago Marathon",2016,FALSE
"NICOLE MICHMERHUIZEN","NICOLE MICHMERHUIZEN","Chicago Marathon",2016,FALSE
"RACHEL HYLAND","RACHEL HYLAND","Chicago Marathon",2016,FALSE
"KELBY LAUGHNER","KELBY LAUGHNER","Chicago Marathon",2016,FALSE
"TERA MOODY","TERA MOODY","Chicago Marathon",2016,FALSE
"VALENTINE KIPKETER","VALENTINE KIPKETER","Chicago Marathon",2017,TRUE
"LISA WEIGHTMAN","LISA WEIGHTMAN","Chicago Marathon",2017,FALSE
"MAEGAN KRIFCHIN","MAEGAN KRIFCHIN","Chicago Marathon",2017,FALSE
"ALIA GRAY","ALIA GRAY","Chicago Marathon",2017,FALSE
"TAYLOR WARD","TAYLOR WARD","Chicago Marathon",2017,FALSE
"REBECCA (BECKY) WADE","BECKY WADE","Chicago Marathon",2017,FALSE
"DOT MCMAHAN","DOT MCMAHAN","Chicago Marathon",2017,FALSE
"KIMI REED","KIMI REED","Chicago Marathon",2017,FALSE
"SARAH CROUCH","SARAH CROUCH","Chicago Marathon",2017,FALSE
"JESSICA DRASKAU PETERSSON","JESSICA DRASKAU PETERSSON","Chicago Marathon",2017,NA
"CHRISTINA VERGARA ALESHIRE","CHRISTINA VERGARA-ALESHIRE","Chicago Marathon",2017,FALSE
"KRISTEN HECKERT","KRISTEN HECKERT","Chicago Marathon",2017,FALSE
"CHIRINE NJEIM","CHIRINE NJEIM","Chicago Marathon",2017,TRUE
"STEPHANIE ANDRE","STEPHANIE ANDRE","Chicago Marathon",2017,TRUE
"CAITLIN CHRISMAN","CAITLIN CHRISMAN","Chicago Marathon",2017,FALSE
"ANITA PEREZ","ANITA PEREZ","Chicago Marathon",2017,FALSE
"JENELLE DEATHERAGE","JENELLE DEATHERAGE","Chicago Marathon",2017,NA
"LAUREN KERSJES","LAUREN KERSJES","Chicago Marathon",2017,FALSE
"SHURE DEMISE","SHURE DEMISE","Chicago Marathon",2018,FALSE
"FLORENCE KIPLAGAT","FLORENCE KIPLAGAT","Chicago Marathon",2018,FALSE
"SARAH CROUCH","SARAH CROUCH","Chicago Marathon",2018,FALSE
"TAYLOR WARD","TAYLOR WARD","Chicago Marathon",2018,TRUE
"GWEN JORGENSEN","GWEN JORGENSEN","Chicago Marathon",2018,TRUE
"AMANDA MARINO","AMANDA MARINO","Chicago Marathon",2018,TRUE
"HILARY CORNO","HILARY CORNO","Chicago Marathon",2018,FALSE
"CHIRINE NJEIM","CHIRINE NJEIM","Chicago Marathon",2018,NA
"JESSICA DRASKAU PETERSSON","JESS DRASKAU PETERSSON","Chicago Marathon",2018,NA
"MERRILEE BLACKHAM","MERRILEE BLACKHAM","Chicago Marathon",2018,FALSE
"LINGLING JIN","LINGLING JIN","Chicago Marathon",2018,FALSE
"YOLYMAR PINEDA","YOLYMAR PINEDA","Chicago Marathon",2018,FALSE
"STEPHANIE BRUCE","STEPHANIE BRUCE","Chicago Marathon",2019,FALSE
"LINDSAY FLANAGAN","LINDSAY FLANAGAN","Chicago Marathon",2019,FALSE
"LAURA THWEATT","LAURA THWEATT","Chicago Marathon",2019,FALSE
"LISA WEIGHTMAN","LISA WEIGHTMAN","Chicago Marathon",2019,NA
"TAYLOR WARD","TAYLOR WARD","Chicago Marathon",2019,TRUE
"JENNIFER BERGMAN","JENNIFER BERGMAN","Chicago Marathon",2019,TRUE
"JULIA ROMAN-DUVAL","JULIA ROMAN-DUVAL","Chicago Marathon",2019,NA
"KRISTEN HECKERT","KRISTEN HECKERT","Chicago Marathon",2019,TRUE
"LAUREN KERSJES","LAUREN KERSJES","Chicago Marathon",2019,TRUE
"CHIRINE NJEIM","CHIRINE NJEIM","Chicago Marathon",2019,TRUE
"JOVANA DE LA CRUZ CAPANI","JOVANA DE LA CRUZ","Chicago Marathon",2019,TRUE
"NATASHA LABEAUD","NATASHA LABEAUD","Chicago Marathon",2019,FALSE
"LISSA ZIMMER","LISSA ZIMMER","Chicago Marathon",2019,FALSE
"JEN ROCK","JEN ROCK","Chicago Marathon",2019,FALSE
"LOICE KANGOGO","LOICE KANGOGO","Columbus Marathon",2015,FALSE
"ELLIE HESS","ELLIE HESS","Columbus Marathon",2015,FALSE
"SARA POLATAS","SARA POLATAS","Columbus Marathon",2015,FALSE
"BECKI SPELLMAN","BECKI SPELLMAN","Columbus Marathon",2015,FALSE
"ANNE FLOWER","ANNE FLOWER","Columbus Marathon",2016,FALSE
"LOICE KANGOGO","LOICE KANGOGO","Columbus Marathon",2016,FALSE
"SARA POLATAS","SARA POLATAS","Columbus Marathon",2016,FALSE
"ANNE FLOWER","ANNE FLOWER","Columbus Marathon",2017,FALSE
"ANNE FLOWER","ANNE FLOWER","Columbus Marathon",2018,FALSE
"CLARA SANTUCCI","CLARA SANTUCCI","Columbus Marathon",2019,TRUE
"CATHERINE WATKINS","CATHERINE WATKINS","Eugene Marathon",2015,FALSE
"EMILY HARRISON","EMILY HARRISON","Eugene Marathon",2015,FALSE
"ERIN VERGARA","ERIN NEHUS-VERGARA","Eugene Marathon",2015,FALSE
"YELENA NANAZIASHVILI","YELENA NANAZIASHVILI","Eugene Marathon",2017,FALSE
"BECKI SPELLMAN","BECKI SPELLMAN","Eugene Marathon",2018,TRUE
"JANE KIBII","JANE KIBII","Grandma's Marathon",2015,FALSE
"LINDSEY SCHERF","LINDSEY SCHERF","Grandma's Marathon",2015,FALSE
"SARAH KIPTOO","SARAH KIPTOO","Grandma's Marathon",2015,FALSE
"MARCI GAGE","MARCI GAGE","Grandma's Marathon",2015,FALSE
"DOT MCMAHAN","DOT MCMAHAN","Grandma's Marathon",2015,FALSE
"CAITLIN COMFORT","CAITLIN COMFORT","Grandma's Marathon",2015,FALSE
"SUSANNA SULLIVAN","SUSANNA SULLIVAN","Grandma's Marathon",2015,FALSE
"KIMI REED","KIMI REED","Grandma's Marathon",2015,FALSE
"POLINA CARLSON","POLINA CARLSON","Grandma's Marathon",2015,FALSE
"ERICA BRASWELL","ERICA BRASWELL","Grandma's Marathon",2015,FALSE
"JENELLE DEATHERAGE","JENELLE DEATHERAGE","Grandma's Marathon",2015,FALSE
"CHRISTINA VERGARA ALESHIRE","CHRISTINA VERGARA ALESHIRE","Grandma's Marathon",2015,FALSE
"CAROL SMITH","CAROL SMITH","Grandma's Marathon",2015,FALSE
"JEN ROCK","JEN ROCK","Grandma's Marathon",2015,FALSE
"LORING CROWLEY","LORING CROWLEY","Grandma's Marathon",2015,FALSE
"AMBER GREEN","AMBER GREEN","Grandma's Marathon",2015,FALSE
"KELSI NUTTER","KELSI NUTTER","Grandma's Marathon",2015,FALSE
"COURTNEY BREWIS","COURTNEY BREWIS","Grandma's Marathon",2015,FALSE
"CAITLIN SMITH","CAITLIN SMITH","Grandma's Marathon",2015,FALSE
"RACHEL HYLAND","RACHEL HYLAND","Grandma's Marathon",2015,FALSE
"ANITA PEREZ","ANITA PEREZ","Grandma's Marathon",2015,FALSE
