"name_age","match_name","full_name","marathon","year","date","time","time_minutes","vaporfly"
"Gregory Leak (M27)","GREGORY LEAK","GREGORY LEAK","Cal Intl Marathon",2015,"2015-12-06","2:21:09",141.15,FALSE
"Crosby Freeman (M31)","CROSBY FREEMAN","CROSBY FREEMAN","Cal Intl Marathon",2015,"2015-12-06","2:21:10",141.166666666667,FALSE
"Matthew Blume (M34)","MATTHEW BLUME","MATTHEW BLUME","Cal Intl Marathon",2015,"2015-12-06","2:21:14",141.233333333333,FALSE
"Eric Noel (M28)","ERIC NOEL","ERIC NOEL","Cal Intl Marathon",2015,"2015-12-06","2:21:31",141.516666666667,FALSE
"Chris Mocko (M29)","CHRIS MOCKO","CHRIS MOCKO","Cal Intl Marathon",2015,"2015-12-06","2:22:36",142.6,FALSE
"Benjamin Eversole (M23)","BENJAMIN EVERSOLE","BENJAMIN EVERSOLE","Cal Intl Marathon",2015,"2015-12-06","2:23:26",143.433333333333,FALSE
"Jason Simpson (M31)","JASON SIMPSON","JASON SIMPSON","Cal Intl Marathon",2015,"2015-12-06","2:23:28",143.466666666667,FALSE
"Joseph Elsakr (M25)","JOSEPH ELSAKR","JOSEPH ELSAKR","Cal Intl Marathon",2015,"2015-12-06","2:23:32",143.533333333333,FALSE
"Nelson Oyugi (M24)","NELSON OYUGI","NELSON OYUGI","Cal Intl Marathon",2016,"2016-12-04","2:11:41",131.683333333333,FALSE
"Elisha Barno (M31)","ELISHA BARNO","ELISHA BARNO","Cal Intl Marathon",2016,"2016-12-04","2:11:52",131.866666666667,FALSE
"Daniel Tapia (M30)","DANIEL TAPIA","DANIEL TAPIA","Cal Intl Marathon",2016,"2016-12-04","2:12:28",132.466666666667,FALSE
"Eric Fernandez (M26)","ERIC FERNANDEZ","ERIC FERNANDEZ","Cal Intl Marathon",2016,"2016-12-04","2:14:09",134.15,FALSE
"Scott MacPherson (M29)","SCOTT MACPHERSON","SCOTT MACPHERSON","Cal Intl Marathon",2016,"2016-12-04","2:14:17",134.283333333333,FALSE
"Kiplangat Terer (M31)","KIPLANGAT TERER","KIPLANGAT TERER","Cal Intl Marathon",2016,"2016-12-04","2:16:29",136.483333333333,FALSE
"Jacob Chemtai (M29)","JACOB CHEMTAI","JACOB CHEMTAI","Cal Intl Marathon",2016,"2016-12-04","2:17:04",137.066666666667,FALSE
"Eric Finan (M27)","ERIC FINAN","ERIC FINAN","Cal Intl Marathon",2016,"2016-12-04","2:17:51",137.85,FALSE
"Brendan Gregg (M27)","BRENDAN GREGG","BRENDAN GREGG","Cal Intl Marathon",2016,"2016-12-04","2:18:33",138.55,FALSE
"Robert Winslow (M28)","ROBERT WINSLOW","ROBERT WINSLOW","Cal Intl Marathon",2016,"2016-12-04","2:19:47",139.783333333333,FALSE
"John Raneri (M25)","JOHN RANERI","JOHN RANERI","Cal Intl Marathon",2016,"2016-12-04","2:19:56",139.933333333333,FALSE
"David Sinclair (M24)","DAVID SINCLAIR","DAVID SINCLAIR","Cal Intl Marathon",2016,"2016-12-04","2:20:58",140.966666666667,FALSE
"Eric Noel (M29)","ERIC NOEL","ERIC NOEL","Cal Intl Marathon",2016,"2016-12-04","2:21:05",141.083333333333,FALSE
"Ramiro Guillen (M34)","RAMIRO GUILLEN","RAMIRO GUILLEN","Cal Intl Marathon",2016,"2016-12-04","2:21:29",141.483333333333,FALSE
"Matthew Fecht (M33)","MATTHEW FECHT","MATTHEW FECHT","Cal Intl Marathon",2016,"2016-12-04","2:22:17",142.283333333333,FALSE
"Alex Wilson (M24)","ALEX WILSON","ALEX WILSON","Cal Intl Marathon",2016,"2016-12-04","2:22:43",142.716666666667,FALSE
"Dylan Belles (M23)","DYLAN BELLES","DYLAN BELLES","Cal Intl Marathon",2016,"2016-12-04","2:23:48",143.8,FALSE
"Steven Tyler Underwood (M29)","STEVEN TYLER UNDERWOOD","STEVEN TYLER UNDERWOOD","Cal Intl Marathon",2016,"2016-12-04","2:23:55",143.916666666667,FALSE
"Mason Frank (M27)","MASON FRANK","MASON FRANK","Cal Intl Marathon",2016,"2016-12-04","2:24:45",144.75,FALSE
"Timothy Ritchie (M30)","TIMOTHY RITCHIE","TIMOTHY RITCHIE","Cal Intl Marathon",2017,"2017-12-03","2:11:56",131.933333333333,FALSE
