"match_name","full_name","marathon","year","vaporfly"
"RAMIRO GUILLEN","RAMIRO GUILLEN","Cal Intl Marathon",2018,TRUE
"KIERAN O'CONNOR","KIERAN O'CONNOR","Cal Intl Marathon",2018,FALSE
"RYAN COSENS","RYAN COSENS","Cal Intl Marathon",2018,FALSE
"MATT HENSLEY","MATT HENSLEY","Cal Intl Marathon",2018,TRUE
"ERIC ASHE","ERIC ASHE","Cal Intl Marathon",2018,FALSE
"JOSEPH ELSAKR","JOSEPH ELSAKR","Cal Intl Marathon",2018,TRUE
"NICK ARCINIAGA","NICK ARCINIAGA","Cal Intl Marathon",2018,FALSE
"JONATHAN MOTT","JONATHAN MOTT","Cal Intl Marathon",2018,FALSE
"CROSBY FREEMAN","CROSBY FREEMAN","Cal Intl Marathon",2018,FALSE
"MATTHEW WILLIAMS","MATTHEW WILLIAMS","Cal Intl Marathon",2018,FALSE
"MASON FRANK","MASON FRANK","Cal Intl Marathon",2018,TRUE
"ELISHA BARNO","ELISHA BARNO","Cal Intl Marathon",2019,TRUE
"PATRICK SMYTH","PATRICK SMYTH","Cal Intl Marathon",2019,TRUE
"ZACHARY HINE","ZACHARY HINE","Cal Intl Marathon",2019,TRUE
"JOE MOORE","JOSEPH MOORE","Cal Intl Marathon",2019,TRUE
"ANDY WILLIAMS","ANDY WILLIAMS","Cal Intl Marathon",2019,TRUE
"PATRICK RIZZO","PATRICK RIZZO","Cal Intl Marathon",2019,TRUE
"CHARLIE HURT","CHARLIE HURT","Cal Intl Marathon",2019,TRUE
"ADAM BOHACH","ADAM BOHACH","Cal Intl Marathon",2019,TRUE
"MATT HENSLEY","MATT HENSLEY","Cal Intl Marathon",2019,TRUE
"BENJAMIN P. ZYWICKI","BENJAMIN ZYWICKI","Cal Intl Marathon",2019,TRUE
"ERIC NOEL","ERIC NOEL","Cal Intl Marathon",2019,FALSE
"MATT BARRETT","MATT BARRETT","Cal Intl Marathon",2019,TRUE
"MAX KING","MAX KING","Cal Intl Marathon",2019,FALSE
"DICKSON CHUMBA","DICKSON CHUMBA","Chicago Marathon",2015,FALSE
"SAMMY KITWARA","SAMMY KITWARA","Chicago Marathon",2015,FALSE
